		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.126953	M = 125001	N = 8	m = 9	n = 1000010
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  268  242  231  233  234  243  260  250  5.341737 0.720504 SUCCESS   0
000000011  264  244  249  259  246  245  253  265  4.908541 0.767305 SUCCESS   1
000000101  251  242  211  238  261  232  261  250  8.209129 0.413313 SUCCESS   2
000000111  254  216  256  225  248  248  235  270  9.227941 0.323434 SUCCESS   3
000001001  250  246  250  236  254  218  218  230  7.629438 0.470478 SUCCESS   4
000001011  245  257  214  232  262  253  252  260  8.190644 0.415073 SUCCESS   5
000001101  253  247  232  254  244  225  252  208  8.746636 0.364118 SUCCESS   6
000001111  225  253  275  244  225  267  245  252  9.953962 0.268272 SUCCESS   7
000010001  239  235  243  250  255  249  264  230  3.735986 0.880124 SUCCESS   8
000010011  240  253  265  255  236  210  220  251 10.632750 0.223389 SUCCESS   9
000010101  249  250  242  261  240  229  241  256  3.152339 0.924437 SUCCESS  10
000010111  254  244  232  255  231  283  229  259 10.575672 0.226920 SUCCESS  11
000011001  241  263  230  221  245  225  239  249  6.427111 0.599503 SUCCESS  12
000011011  240  244  211  257  237  218  253  237  9.079510 0.335633 SUCCESS  13
000011101  260  227  242  236  234  239  237  244  3.370278 0.909021 SUCCESS  14
000011111  222  245  284  233  261  267  261  246 13.981398 0.082252 SUCCESS  15
000100011  241  252  249  251  254  255  259  246  2.470654 0.963085 SUCCESS  16
000100101  255  254  278  238  257  224  257  227 10.297063 0.244792 SUCCESS  17
000100111  238  246  281  237  237  238  216  232 10.498320 0.231776 SUCCESS  18
000101001  238  230  254  248  230  252  228  274  7.471822 0.486684 SUCCESS  19
000101011  238  246  250  237  224  242  245  273  5.805748 0.668981 SUCCESS  20
000101101  255  254  234  242  234  238  242  256  2.577431 0.958022 SUCCESS  21
000101111  268  199  247  267  229  261  229  242 16.457927 0.036276 SUCCESS  22
000110011  230  237  234  247  257  214  258  249  6.993546 0.537329 SUCCESS  23
000110101  256  239  219  251  213  252  271  236 11.290372 0.185783 SUCCESS  24
000110111  245  249  242  260  217  218  269  242  9.840301 0.276414 SUCCESS  25
000111001  258  223  221  224  279  249  234  245 12.379254 0.135068 SUCCESS  26
000111011  274  293  248  233  255  243  254  233 15.932138 0.043362 SUCCESS  27
000111101  225  245  237  234  264  250  243  239  4.138930 0.844376 SUCCESS  28
000111111  244  245  272  237  260  254  245  246  5.008466 0.756671 SUCCESS  29
001000011  249  251  228  224  230  249  249  246  4.180419 0.840489 SUCCESS  30
001000101  271  224  259  237  235  257  241  232  7.647610 0.468627 SUCCESS  31
001000111  245  248  264  249  247  237  266  245  4.120924 0.846052 SUCCESS  32
001001011  254  269  269  234  241  247  248  247  6.264530 0.617627 SUCCESS  33
001001101  251  249  223  255  218  225  231  261  9.070772 0.336361 SUCCESS  34
001001111  254  278  273  225  238  254  226  241 12.361381 0.135794 SUCCESS  35
001010011  252  261  236  240  255  263  220  243  6.302246 0.613416 SUCCESS  36
001010101  269  247  261  252  248  263  264  246  7.385501 0.495667 SUCCESS  37
001010111  243  229  243  274  232  251  253  230  6.763228 0.562381 SUCCESS  38
001011011  262  251  256  237  251  225  242  231  4.865215 0.771880 SUCCESS  39
001011101  248  239  265  250  257  254  261  245  4.491332 0.810300 SUCCESS  40
001011111  266  226  234  243  225  240  215  245  9.078500 0.335717 SUCCESS  41
001100101  237  259  275  258  260  254  242  226  8.897566 0.351011 SUCCESS  42
001100111  250  228  231  249  262  242  276  255  8.256014 0.408870 SUCCESS  43
001101011  236  258  232  248  223  236  234  242  4.406301 0.818733 SUCCESS  44
001101101  236  242  229  239  253  219  246  240  4.475229 0.811906 SUCCESS  45
001101111  223  252  236  250  250  218  262  249  7.071692 0.528918 SUCCESS  46
001110101  232  234  253  256  238  247  263  236  3.971218 0.859711 SUCCESS  47
001110111  274  270  224  232  233  229  235  210 15.737219 0.046300 SUCCESS  48
001111011  245  248  251  244  266  221  246  238  4.733813 0.785611 SUCCESS  49
001111101  215  271  267  241  241  242  259  232 10.532561 0.229617 SUCCESS  50
001111111  255  251  280  219  276  269  259  254 17.103071 0.029054 SUCCESS  51
010000011  225  237  236  238  226  220  252  230  7.170392 0.518365 SUCCESS  52
010000111  249  243  262  243  240  268  228  255  5.554181 0.697030 SUCCESS  53
010001011  262  214  239  255  241  237  232  239  6.801954 0.558144 SUCCESS  54
010001111  239  218  253  219  253  240  241  254  6.871891 0.550516 SUCCESS  55
010010011  267  240  240  227  258  241  239  255  5.072611 0.749788 SUCCESS  56
010010111  259  236  258  224  224  252  246  239  5.853692 0.663617 SUCCESS  57
010011011  229  256  235  227  224  248  225  253  6.825619 0.555559 SUCCESS  58
010011111  235  276  264  251  244  257  238  238  7.550448 0.478567 SUCCESS  59
010100011  229  233  240  197  219  258  246  241 14.522033 0.069133 SUCCESS  60
010100111  252  263  231  247  262  249  250  247  4.171763 0.841303 SUCCESS  61
010101011  282  245  241  236  250  282  248  231 13.417992 0.098254 SUCCESS  62
010101111  256  214  259  261  229  246  263  216 12.430971 0.132986 SUCCESS  63
010110011  220  250  234  261  274  258  265  236 10.974793 0.203132 SUCCESS  64
010110111  252  250  264  245  260  250  255  220  6.265804 0.617485 SUCCESS  65
010111011  244  239  236  241  249  235  235  258  2.054504 0.979295 SUCCESS  66
010111111  272  244  243  249  225  260  238  234  6.608425 0.579408 SUCCESS  67
011000111  250  274  228  230  235  226  263  238  9.287387 0.318636 SUCCESS  68
011001111  256  255  223  242  264  277  282  259 16.273832 0.038624 SUCCESS  69
011010111  231  256  244  236  235  244  243  244  1.965601 0.982048 SUCCESS  70
