		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.126953	M = 125001	N = 8	m = 9	n = 1000010
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  250  252  256  242  265  274  232  279 12.427099 0.133141 SUCCESS   0
000000011  259  257  283  229  257  252  253  253 10.642531 0.222788 SUCCESS   1
000000101  251  240  252  263  248  246  264  244  3.795646 0.875074 SUCCESS   2
000000111  236  238  264  236  245  247  251  257  3.332297 0.911808 SUCCESS   3
000001001  267  230  247  263  246  266  232  233  7.795428 0.453704 SUCCESS   4
000001011  253  230  230  244  229  256  239  267  5.919194 0.656283 SUCCESS   5
000001101  253  254  283  242  265  230  244  226 11.251250 0.187865 SUCCESS   6
000001111  252  264  253  203  243  243  254  239  9.970428 0.267108 SUCCESS   7
000010001  244  263  236  236  232  260  252  255  4.522726 0.807155 SUCCESS   8
000010011  284  221  249  246  244  248  247  248  9.279261 0.319288 SUCCESS   9
000010101  216  235  241  218  246  220  288  231 18.004019 0.021196 SUCCESS  10
000010111  217  253  226  261  224  247  248  235  8.217123 0.412554 SUCCESS  11
000011001  238  251  232  215  252  252  225  235  7.004567 0.536140 SUCCESS  12
000011011  235  257  270  240  267  232  290  239 15.829449 0.044887 SUCCESS  13
000011101  231  251  270  252  237  242  221  243  6.534582 0.587574 SUCCESS  14
000011111  255  268  243  234  233  262  262  257  7.288654 0.505833 SUCCESS  15
000100011  242  252  250  261  237  275  264  260  8.628043 0.374638 SUCCESS  16
000100101  257  247  217  234  241  242  280  253 10.135326 0.255656 SUCCESS  17
000100111  276  266  249  256  218  216  229  259 15.179075 0.055756 SUCCESS  18
000101001  238  239  223  245  246  289  261  241 11.957957 0.153090 SUCCESS  19
000101011  221  251  268  240  281  221  262  256 14.929660 0.060528 SUCCESS  20
000101101  257  257  227  216  260  253  248  283 13.865188 0.085348 SUCCESS  21
000101111  244  231  227  251  231  268  267  214 11.379408 0.181114 SUCCESS  22
000110011  238  248  243  217  254  269  221  237  8.860827 0.354172 SUCCESS  23
000110101  255  253  236  229  247  244  236  252  2.661154 0.953792 SUCCESS  24
000110111  247  255  255  212  253  243  286  260 14.244202 0.075618 SUCCESS  25
000111001  247  255  231  285  236  244  249  233  9.248661 0.321756 SUCCESS  26
000111011  241  241  243  246  231  262  250  218  5.224650 0.733318 SUCCESS  27
000111101  241  268  253  213  236  228  245  222 10.353530 0.241084 SUCCESS  28
000111111  275  273  230  236  231  258  260  239 11.419573 0.179040 SUCCESS  29
001000011  241  280  249  265  238  251  245  248  7.865846 0.446683 SUCCESS  30
001000101  241  241  232  238  266  255  242  257  4.113990 0.846695 SUCCESS  31
001000111  259  274  228  251  244  248  265  253  8.262948 0.408215 SUCCESS  32
001001011  250  259  223  228  234  256  249  236  5.488331 0.704332 SUCCESS  33
001001101  241  228  238  247  236  247  236  260  2.999340 0.934399 SUCCESS  34
001001111  264  252  232  248  231  214  210  259 13.069148 0.109493 SUCCESS  35
001010011  236  233  223  241  237  252  257  266  5.943604 0.653549 SUCCESS  36
001010101  257  244  243  254  229  206  202  246 15.782134 0.045607 SUCCESS  37
001010111  246  231  260  248  283  222  231  255 11.583114 0.170796 SUCCESS  38
001011011  238  240  220  210  228  257  255  258 10.751773 0.216165 SUCCESS  39
001011101  247  255  245  248  258  233  230  256  3.385288 0.907908 SUCCESS  40
001011111  238  237  222  240  236  258  264  223  7.180090 0.517333 SUCCESS  41
001100101  249  241  245  239  253  251  237  261  2.211673 0.973825 SUCCESS  42
001100111  262  235  223  239  263  264  236  224  8.886991 0.351919 SUCCESS  43
001101011  245  233  222  242  261  247  231  243  4.597761 0.799575 SUCCESS  44
001101101  209  241  252  260  253  237  246  249  7.263284 0.508511 SUCCESS  45
001101111  253  232  240  241  258  260  268  255  5.868437 0.661966 SUCCESS  46
001110101  226  242  242  215  238  233  263  244  7.217409 0.513368 SUCCESS  47
001110111  258  230  265  262  210  255  234  224 12.445899 0.132390 SUCCESS  48
001111011  235  282  263  216  266  247  232  233 14.500072 0.069627 SUCCESS  49
001111101  253  244  224  233  237  229  237  235  4.327145 0.826467 SUCCESS  50
001111111  261  237  243  239  239  276  223  262  9.197821 0.325884 SUCCESS  51
010000011  246  257  264  237  236  246  259  239  3.948562 0.861734 SUCCESS  52
010000111  252  268  238  239  231  227  266  225  8.497221 0.386465 SUCCESS  53
010001011  268  238  237  212  246  251  241  249  7.518624 0.481844 SUCCESS  54
010001111  242  254  255  236  223  218  237  244  6.211108 0.623598 SUCCESS  55
010010011  249  234  220  218  226  271  218  249 13.337529 0.100752 SUCCESS  56
010010111  239  259  243  260  241  239  230  209  8.347250 0.400305 SUCCESS  57
010011011  247  234  252  259  263  230  244  270  6.859943 0.551817 SUCCESS  58
010011111  265  251  237  228  234  228  232  273  9.054305 0.337736 SUCCESS  59
010100011  221  249  247  234  227  253  255  281 10.673445 0.220897 SUCCESS  60
010100111  257  235  238  216  246  238  244  260  5.807155 0.668823 SUCCESS  61
010101011  255  228  230  264  229  207  215  249 14.625599 0.066848 SUCCESS  62
010101111  236  275  259  260  258  236  227  258  9.475900 0.303752 SUCCESS  63
010110011  232  217  241  235  237  219  245  253  7.361852 0.498142 SUCCESS  64
010110111  234  215  210  232  229  233  265  268 15.340382 0.052855 SUCCESS  65
010111011  216  233  240  229  287  235  224  234 15.208848 0.055210 SUCCESS  66
010111111  245  250  228  262  254  243  221  232  5.911995 0.657089 SUCCESS  67
011000111  266  211  245  253  240  252  244  227  8.590559 0.378003 SUCCESS  68
011001111  226  252  227  268  249  243  234  230  6.697991 0.569540 SUCCESS  69
011010111  242  231  261  243  298  236  232  237 15.374838 0.052254 SUCCESS  70
011011111  223  239  236  251  233  230  242  258  4.686929 0.790453 SUCCESS  71
011101111  235  244  258  247  222  221  215  259 10.075053 0.259798 SUCCESS  72
011111111  278  223  218  226  246  255  220  238 14.177127 0.077264 SUCCESS  73
100000000  250  252  256  242  265  274  232  279 12.427099 0.133141 SUCCESS  74
100010000  253  259  228  234  240  238  249  264  4.812091 0.777458 SUCCESS  75
100100000  252  246  246  242  258  245  238  243  1.294541 0.995617 SUCCESS  76
100101000  243  256  251  207  249  229  262  249  9.166609 0.328437 SUCCESS  77
100110000  236  209  233  269  242  247  206  228 15.967669 0.042845 SUCCESS  78
100111000  245  235  248  219  264  268  216  266 12.560966 0.127875 SUCCESS  79
101000000  253  231  258  233  239  260  249  242  3.702093 0.882952 SUCCESS  80
101000100  247  258  258  268  231  246  252  259  6.024994 0.644432 SUCCESS  81
101001000  237  251  251  245  267  258  258  228  5.567835 0.695513 SUCCESS  82
101001100  243  261  222  258  254  253  235  243  5.206032 0.735345 SUCCESS  83
101010000  214  239  237  263  239  271  266  230 11.724264 0.163937 SUCCESS  84
101010100  241  266  263  265  241  247  229  223  8.360109 0.399107 SUCCESS  85
101011000  247  242  237  227  229  235  252  245  3.100275 0.927908 SUCCESS  86
101011100  252  235  231  247  272  236  261  242  6.177166 0.627394 SUCCESS  87
101100000  250  250  239  237  229  254  236  259  3.218239 0.919925 SUCCESS  88
101100100  243  246  253  231  269  256  249  233  4.927291 0.765318 SUCCESS  89
101101000  245  234  247  222  242  268  264  242  6.673051 0.572283 SUCCESS  90
101101100  233  241  224  255  251  261  230  285 12.112628 0.146249 SUCCESS  91
101110000  210  232  251  239  251  225  265  248  9.528196 0.299713 SUCCESS  92
101110100  234  244  269  236  238  233  244  215  7.613369 0.472118 SUCCESS  93
101111000  263  244  232  235  251  208  228  251  9.516695 0.300598 SUCCESS  94
101111100  249  253  236  240  243  230  244  259  2.574270 0.958178 SUCCESS  95
110000000  251  253  261  246  251  243  248  236  2.303605 0.970261 SUCCESS  96
110000010  241  238  234  235  215  257  237  261  6.705587 0.568705 SUCCESS  97
110000100  268  221  247  230  265  263  247  248  9.014438 0.341079 SUCCESS  98
110001000  255  244  236  238  237  245  252  266  3.447762 0.903206 SUCCESS  99
110001010  244  267  239  244  255  261  224  243  5.756663 0.674468 SUCCESS 100
110010000  230  264  236  223  253  230  239  240  6.052135 0.641392 SUCCESS 101
110010010  259  254  250  235  238  269  246  237  4.859373 0.772495 SUCCESS 102
110010100  250  241  235  239  254  233  236  259  2.806342 0.945917 SUCCESS 103
110011000  249  227  239  244  272  245  204  245 11.574426 0.171226 SUCCESS 104
110011010  240  232  223  251  238  248  228  219  6.785669 0.559924 SUCCESS 105
110100000  253  230  264  233  247  267  262  244  6.981729 0.538605 SUCCESS 106
110100010  266  241  271  257  229  241  237  254  7.469009 0.486975 SUCCESS 107
110100100  242  265  247  226  245  262  252  241  4.952711 0.762618 SUCCESS 108
110101000  219  239  234  235  245  265  265  259  8.205704 0.413639 SUCCESS 109
110101010  239  250  250  275  241  248  242  226  5.958002 0.651936 SUCCESS 110
110101100  237  228  218  233  231  247  242  244  5.517839 0.701063 SUCCESS 111
110110000  251  262  262  231  241  259  246  251  4.830527 0.775527 SUCCESS 112
110110010  251  240  246  243  278  242  266  232  7.822735 0.450975 SUCCESS 113
110110100  223  243  246  240  233  264  242  254  4.613300 0.797994 SUCCESS 114
110111000  221  248  229  234  253  227  237  249  5.625575 0.689091 SUCCESS 115
110111010  230  241  269  215  226  255  266  231 11.752232 0.162606 SUCCESS 116
110111100  270  245  245  240  243  228  231  256  5.349201 0.719684 SUCCESS 117
111000000  240  238  256  245  255  219  256  248  4.668178 0.792381 SUCCESS 118
111000010  243  234  235  236  257  247  235  261  3.368739 0.909135 SUCCESS 119
111000100  255  244  224  248  236  224  250  282 10.499809 0.231682 SUCCESS 120
111000110  269  238  253  229  235  244  261  257  6.344347 0.608719 SUCCESS 121
111001000  259  262  244  256  237  249  234  254  4.051119 0.852482 SUCCESS 122
111001010  240  244  255  241  241  226  213  259  7.090045 0.526949 SUCCESS 123
111001100  236  219  235  273  270  246  225  240 11.312499 0.184613 SUCCESS 124
111010000  268  238  247  228  242  246  258  225  6.109777 0.634937 SUCCESS 125
111010010  241  278  254  246  237  222  233  256  8.741539 0.364566 SUCCESS 126
111010100  239  251  253  228  231  260  259  250  4.627698 0.796526 SUCCESS 127
111010110  241  214  254  233  236  236  234  253  6.151928 0.630218 SUCCESS 128
111011000  262  271  225  211  248  269  258  238 14.271161 0.074966 SUCCESS 129
111011010  213  227  249  242  244  263  262  255  8.830707 0.356778 SUCCESS 130
111011100  215  246  240  244  257  232  231  236  6.016355 0.645400 SUCCESS 131
