		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    3    4    2    1    3    3  7.393125 0.494871 SUCCESS   0
000000011    1    1    4    3    4    0    1    3  7.456013 0.488323 SUCCESS   1
000000101    2    2    0    1    2    5    3    2  6.608679 0.579380 SUCCESS   2
000000111    1    0    5    3    3    3    1    2  7.518901 0.481816 SUCCESS   3
000001001    1    4    5    1    5    4    2    3  9.653786 0.290171 SUCCESS   4
000001011    4    6    1    1    2    4    2    0 11.881348 0.156577 SUCCESS   5
000001101    2    7    2    4    2    4    0    3 13.827568 0.086372 SUCCESS   6
000001111    2    0    2    2    3    6    1    2  9.213569 0.324601 SUCCESS   7
000010001    3    3    2    2    1    3    3    3  1.713338 0.988575 SUCCESS   8
000010011    2    3    4    2    3    1    0    3  4.976899 0.760042 SUCCESS   9
000010101    1    1    3    4    2    2    2    2  3.219342 0.919848 SUCCESS  10
000010111    3    4    3    1    1    4    2    0  6.671567 0.572447 SUCCESS  11
000011001    3    2    4    1    2    1    2    1  4.003788 0.856782 SUCCESS  12
000011011    3    5    7    0    2    2    1    5 18.127127 0.020293 SUCCESS  13
000011101    1    4    5    1    3    1    4    2  7.707565 0.462545 SUCCESS  14
000011111    5    1    1    1    1    5    2    2  9.213569 0.324601 SUCCESS  15
000100011    2    3    0    5    1    3    2    4  7.644677 0.468925 SUCCESS  16
000100101    2    2    3    2    4    3    4    1  3.470895 0.901437 SUCCESS  17
000100111    4    3    3    5    1    2    3    2  5.291339 0.726032 SUCCESS  18
000101001    4    4    1    2    4    4    1    1  6.860231 0.551785 SUCCESS  19
000101011    0    3    2    3    3    4    1    1  5.761345 0.673945 SUCCESS  20
000101101    4    4    1    4    4    1    2    1  6.860231 0.551785 SUCCESS  21
000101111    2    1    7    3    3    2    3    0 12.791570 0.119225 SUCCESS  22
000110011    0    4    2    2    1    3    2    3  4.914011 0.766726 SUCCESS  23
000110101    2    4    1    4    3    2    1    4  5.165563 0.739743 SUCCESS  24
000110111    4    4    2    1    1    2    2    4  5.102675 0.746548 SUCCESS  25
000111001    1    4    3    5    2    1    2    2  5.950009 0.652832 SUCCESS  26
000111011    1    1    7    1    3    1    2    3 12.665794 0.123878 SUCCESS  27
000111101    4    3    3    0    4    2    2    2  5.102675 0.746548 SUCCESS  28
000111111    4    2    0    3    1    5    1    3  8.429123 0.392713 SUCCESS  29
001000011    5    5    4    1    1    1    3    4 10.438232 0.235604 SUCCESS  30
001000101    2    2    4    2    3    1    1    5  5.950009 0.652832 SUCCESS  31
001000111    2    3    1    3    2    3    3    6  6.986007 0.538143 SUCCESS  32
001001011    2    3    4    3    1    3    5    3  5.354227 0.719131 SUCCESS  33
001001101    2    1    3    2    2    2    1    3  2.309120 0.970039 SUCCESS  34
001001111    3    3    4    4    2    2    5    4  6.390225 0.603608 SUCCESS  35
001010011    2    1    2    0    3    4    4    0  8.240459 0.410341 SUCCESS  36
001010101    3    0    1    3    2    6    2    3  9.339345 0.314483 SUCCESS  37
001010111    0    2    1    3    3    2    6    6 14.612015 0.067143 SUCCESS  38
001011011    5    6    3    4    4    0    0    1 16.306683 0.038195 SUCCESS  39
001011101    1    3    1    1    6    1    2    5 11.881348 0.156577 SUCCESS  40
001011111    2    2    5    2    2    3    2    1  4.192453 0.839356 SUCCESS  41
001100101    2    0    3    1    1    1    0    0 10.279357 0.245964 SUCCESS  42
001100111    0    1    4    1    2    1    3    2  6.420015 0.600293 SUCCESS  43
001101011    1    4    3    2    2    3    0    3  4.976899 0.760042 SUCCESS  44
001101101    2    3    6    4    2    3    2    1  7.833341 0.449917 SUCCESS  45
001101111    3    4    1    3    2    3    4    3  3.596671 0.891559 SUCCESS  46
001110101    4    2    4    4    3    3    3    4  4.695557 0.789564 SUCCESS  47
001110111    1    1    2    0    2    1    5    3  8.177571 0.416320 SUCCESS  48
001111011    3    1    6    1    1    1    4    1 10.908238 0.206953 SUCCESS  49
